source_row_number,shipment_id,supplier_id,source_warehouse_id,distribution_point_id,item_id,item_name,item_category,quantity_shipped,shipment_status,planned_ship_date,planned_delivery_date,actual_delivery_date,transport_mode,delay_days,is_delayed,record_quality_status
1,SHP0001,SUP003,WH001,DP001,ITEM004,Emergency Shelter Kits,Shelter,399,Delivered,2026-02-13,2026-02-24,2026-02-28,Air,4.0,True,accepted
2,SHP0002,SUP001,WH004,DP005,ITEM003,Water Purification Tablets,WASH,137,In Transit,2026-04-19,2026-05-03,,Road,0.0,False,accepted
3,SHP0003,SUP003,WH005,DP002,ITEM001,Vaccines,Medical,731,Delayed,2026-03-12,2026-03-24,2026-04-07,Air,14.0,True,accepted
4,SHP0004,SUP001,WH002,DP001,ITEM001,Vaccines,Medical,399,In Transit,2026-03-26,2026-04-05,,Road,0.0,False,accepted
5,SHP0005,SUP002,WH003,DP001,ITEM004,Emergency Shelter Kits,Shelter,633,Delivered,2026-03-23,2026-04-06,2026-04-06,Sea,0.0,False,accepted
6,SHP0006,SUP003,WH005,DP002,ITEM002,Therapeutic Food Packs,Nutrition,711,Delivered,2026-03-10,2026-03-20,2026-03-21,Road,1.0,True,accepted
7,SHP0007,SUP003,WH001,DP002,ITEM001,Vaccines,Medical,945,Delayed,2026-01-30,2026-02-03,2026-02-14,Sea,11.0,True,accepted
8,SHP0008,SUP004,WH002,DP003,ITEM003,Water Purification Tablets,WASH,152,Delivered,2026-01-28,2026-02-15,2026-02-18,Air,3.0,True,accepted
9,SHP0009,SUP004,WH005,DP004,ITEM005,School-in-a-Box Kits,Education,380,In Transit,2026-03-10,2026-03-21,,Air,0.0,False,accepted
10,SHP0010,SUP001,WH002,DP002,ITEM002,Therapeutic Food Packs,Nutrition,821,Delivered,2026-03-07,2026-03-25,2026-03-23,Sea,-2.0,False,accepted
11,SHP0011,SUP004,WH005,DP003,ITEM004,Emergency Shelter Kits,Shelter,576,Delivered,2026-03-18,2026-03-23,2026-03-25,Air,2.0,True,accepted
12,SHP0012,SUP003,WH001,DP003,ITEM001,Vaccines,Medical,455,In Transit,2026-03-29,2026-04-18,,Air,0.0,False,accepted
13,SHP0013,SUP002,WH005,DP001,ITEM004,Emergency Shelter Kits,Shelter,901,Cancelled,2026-01-01,2026-01-12,,Sea,0.0,False,accepted
14,SHP0014,SUP002,WH003,DP002,ITEM003,Water Purification Tablets,WASH,562,In Transit,2026-04-18,2026-05-07,,Sea,0.0,False,accepted
15,SHP0015,SUP003,WH003,DP002,ITEM001,Vaccines,Medical,69,Delivered,2026-03-18,2026-03-31,2026-03-29,Air,-2.0,False,accepted
16,SHP0016,SUP001,WH005,DP002,ITEM005,School-in-a-Box Kits,Education,141,In Transit,2026-01-11,2026-01-16,,Sea,0.0,False,accepted
17,SHP0017,SUP005,WH004,DP002,ITEM004,Emergency Shelter Kits,Shelter,961,Delivered,2026-03-12,2026-03-20,2026-03-24,Sea,4.0,True,accepted
18,SHP0018,SUP003,WH004,DP005,ITEM002,Therapeutic Food Packs,Nutrition,472,Delivered,2026-04-02,2026-04-14,2026-04-17,Air,3.0,True,accepted
19,SHP0019,SUP005,WH002,DP005,ITEM002,Therapeutic Food Packs,Nutrition,235,Delivered,2026-01-29,2026-02-03,2026-02-05,Air,2.0,True,accepted
20,SHP0020,SUP003,WH001,DP005,ITEM001,Vaccines,Medical,253,Delivered,2026-04-01,2026-04-05,2026-04-03,Road,-2.0,False,accepted
21,SHP0021,SUP005,WH004,DP002,ITEM004,Emergency Shelter Kits,Shelter,813,Delivered,2026-01-28,2026-02-17,2026-02-19,Road,2.0,True,accepted
22,SHP0022,SUP003,WH004,DP004,ITEM004,Emergency Shelter Kits,Shelter,488,Delivered,2026-01-25,2026-01-31,2026-02-01,Sea,1.0,True,accepted
23,SHP0023,SUP003,WH001,DP002,ITEM001,Vaccines,Medical,206,Delivered,2026-03-28,2026-04-03,2026-04-06,Air,3.0,True,accepted
24,SHP0024,SUP004,WH002,DP001,ITEM005,School-in-a-Box Kits,Education,463,Delivered,2026-02-27,2026-03-06,2026-03-06,Sea,0.0,False,accepted
25,SHP0025,SUP002,WH002,DP004,ITEM001,Vaccines,Medical,507,Delayed,2026-01-07,2026-01-27,2026-02-02,Road,6.0,True,accepted
26,SHP0026,SUP004,WH001,DP004,ITEM002,Therapeutic Food Packs,Nutrition,281,Delayed,2026-04-21,2026-05-06,2026-05-13,Road,7.0,True,accepted
27,SHP0027,SUP004,WH002,DP002,ITEM003,Water Purification Tablets,WASH,313,In Transit,2026-02-24,2026-03-16,,Air,0.0,False,accepted
28,SHP0028,SUP001,WH001,DP005,ITEM001,Vaccines,Medical,498,Delivered,2026-03-16,2026-04-05,2026-04-05,Sea,0.0,False,accepted
29,SHP0029,SUP001,WH002,DP001,ITEM005,School-in-a-Box Kits,Education,619,Cancelled,2026-01-21,2026-01-25,,Air,0.0,False,accepted
30,SHP0030,SUP002,WH005,DP005,ITEM002,Therapeutic Food Packs,Nutrition,50,Delayed,2026-02-21,2026-02-27,2026-03-13,Sea,14.0,True,accepted
31,SHP0031,SUP002,WH003,DP002,ITEM001,Vaccines,Medical,281,Delivered,2026-02-23,2026-03-14,2026-03-14,Road,0.0,False,accepted
32,SHP0032,SUP001,WH001,DP004,ITEM002,Therapeutic Food Packs,Nutrition,646,Delivered,2026-03-27,2026-04-08,2026-04-12,Sea,4.0,True,accepted
33,SHP0033,SUP002,WH003,DP001,ITEM001,Vaccines,Medical,910,Delivered,2026-01-10,2026-01-30,2026-01-30,Air,0.0,False,accepted
34,SHP0034,SUP003,WH005,DP005,ITEM003,Water Purification Tablets,WASH,18,Delivered,2026-02-06,2026-02-14,2026-02-16,Sea,2.0,True,accepted
35,SHP0035,SUP003,WH001,DP001,ITEM005,School-in-a-Box Kits,Education,770,Delayed,2026-02-08,2026-02-14,2026-02-21,Sea,7.0,True,accepted
36,SHP0036,SUP003,WH002,DP003,ITEM002,Therapeutic Food Packs,Nutrition,527,In Transit,2026-02-04,2026-02-16,,Road,0.0,False,accepted
37,SHP0037,SUP003,WH001,DP001,ITEM003,Water Purification Tablets,WASH,351,Delivered,2026-04-26,2026-04-30,2026-05-01,Air,1.0,True,accepted
38,SHP0038,SUP004,WH005,DP001,ITEM003,Water Purification Tablets,WASH,124,In Transit,2026-01-21,2026-02-07,,Air,0.0,False,accepted
39,SHP0039,SUP005,WH002,DP004,ITEM002,Therapeutic Food Packs,Nutrition,140,Delayed,2026-03-11,2026-03-15,2026-03-29,Air,14.0,True,accepted
40,SHP0040,SUP002,WH001,DP003,ITEM003,Water Purification Tablets,WASH,808,Delayed,2026-02-16,2026-02-20,2026-02-28,Sea,8.0,True,accepted
41,SHP0041,SUP002,WH002,DP004,ITEM004,Emergency Shelter Kits,Shelter,35,Delayed,2026-03-21,2026-03-28,2026-04-05,Air,8.0,True,accepted
42,SHP0042,SUP002,WH003,DP002,ITEM003,Water Purification Tablets,WASH,816,Delayed,2026-04-11,2026-04-27,2026-05-15,Sea,18.0,True,accepted
43,SHP0043,SUP002,WH004,DP003,ITEM001,Vaccines,Medical,322,Delayed,2026-02-18,2026-02-22,2026-03-02,Air,8.0,True,accepted
44,SHP0044,SUP001,WH003,DP003,ITEM002,Therapeutic Food Packs,Nutrition,666,Delivered,2026-01-04,2026-01-13,2026-01-13,Sea,0.0,False,accepted
45,SHP0045,SUP001,WH003,DP002,ITEM004,Emergency Shelter Kits,Shelter,604,Delivered,2026-03-28,2026-04-17,2026-04-15,Road,-2.0,False,accepted
46,SHP0046,SUP003,WH004,DP005,ITEM001,Vaccines,Medical,533,Delivered,2026-01-14,2026-01-30,2026-02-03,Air,4.0,True,accepted
47,SHP0047,SUP004,WH001,DP005,ITEM004,Emergency Shelter Kits,Shelter,957,Delivered,2026-04-26,2026-05-05,2026-05-08,Sea,3.0,True,accepted
48,SHP0048,SUP003,WH005,DP003,ITEM002,Therapeutic Food Packs,Nutrition,689,Delivered,2026-02-16,2026-03-04,2026-03-07,Air,3.0,True,accepted
49,SHP0049,SUP003,WH004,DP003,ITEM003,Water Purification Tablets,WASH,577,In Transit,2026-03-06,2026-03-18,,Air,0.0,False,accepted
50,SHP0050,SUP002,WH005,DP005,ITEM002,Therapeutic Food Packs,Nutrition,318,In Transit,2026-02-23,2026-03-10,,Road,0.0,False,accepted
51,SHP0051,SUP004,WH005,DP005,ITEM005,School-in-a-Box Kits,Education,680,Delivered,2026-04-17,2026-04-20,2026-04-19,Road,-1.0,False,accepted
52,SHP0052,SUP005,WH004,DP002,ITEM004,Emergency Shelter Kits,Shelter,684,In Transit,2026-02-26,2026-03-15,,Air,0.0,False,accepted
53,SHP0053,SUP002,WH003,DP002,ITEM003,Water Purification Tablets,WASH,835,Delivered,2026-03-07,2026-03-20,2026-03-24,Air,4.0,True,accepted
54,SHP0054,SUP005,WH001,DP004,ITEM002,Therapeutic Food Packs,Nutrition,434,Delivered,2026-01-04,2026-01-08,2026-01-09,Sea,1.0,True,accepted
55,SHP0055,SUP002,WH001,DP001,ITEM005,School-in-a-Box Kits,Education,807,Delivered,2026-01-25,2026-02-09,2026-02-08,Road,-1.0,False,accepted
56,SHP0056,SUP002,WH001,DP004,ITEM002,Therapeutic Food Packs,Nutrition,146,Delivered,2026-01-23,2026-02-11,2026-02-13,Road,2.0,True,accepted
57,SHP0057,SUP004,WH005,DP005,ITEM005,School-in-a-Box Kits,Education,446,Cancelled,2026-03-13,2026-03-26,,Sea,0.0,False,accepted
58,SHP0058,SUP004,WH004,DP003,ITEM004,Emergency Shelter Kits,Shelter,779,In Transit,2026-04-25,2026-05-03,,Air,0.0,False,accepted
59,SHP0059,SUP003,WH004,DP001,ITEM003,Water Purification Tablets,WASH,740,Delivered,2026-04-09,2026-04-28,2026-04-27,Road,-1.0,False,accepted
60,SHP0060,SUP001,WH002,DP002,ITEM002,Therapeutic Food Packs,Nutrition,246,Delivered,2026-02-04,2026-02-17,2026-02-19,Road,2.0,True,accepted
61,SHP0061,SUP003,WH005,DP004,ITEM002,Therapeutic Food Packs,Nutrition,435,Delivered,2026-04-01,2026-04-10,2026-04-11,Air,1.0,True,accepted
62,SHP0062,SUP005,WH001,DP005,ITEM002,Therapeutic Food Packs,Nutrition,399,Delivered,2026-04-17,2026-05-03,2026-05-07,Road,4.0,True,accepted
63,SHP0063,SUP004,WH005,DP005,ITEM001,Vaccines,Medical,829,Delivered,2026-05-01,2026-05-15,2026-05-16,Sea,1.0,True,accepted
64,SHP0064,SUP001,WH004,DP003,ITEM002,Therapeutic Food Packs,Nutrition,694,Delivered,2026-03-04,2026-03-14,2026-03-15,Sea,1.0,True,accepted
65,SHP0065,SUP005,WH005,DP001,ITEM004,Emergency Shelter Kits,Shelter,938,Delayed,2026-04-03,2026-04-11,2026-04-18,Road,7.0,True,accepted
66,SHP0066,SUP002,WH004,DP002,ITEM005,School-in-a-Box Kits,Education,61,Delivered,2026-03-14,2026-03-17,2026-03-18,Road,1.0,True,accepted
67,SHP0067,SUP004,WH003,DP004,ITEM004,Emergency Shelter Kits,Shelter,268,Delivered,2026-02-11,2026-02-20,2026-02-20,Air,0.0,False,accepted
68,SHP0068,SUP002,WH001,DP001,ITEM004,Emergency Shelter Kits,Shelter,782,Delivered,2026-01-03,2026-01-23,2026-01-23,Air,0.0,False,accepted
69,SHP0069,SUP002,WH002,DP004,ITEM002,Therapeutic Food Packs,Nutrition,695,In Transit,2026-01-26,2026-01-29,,Air,0.0,False,accepted
70,SHP0070,SUP003,WH002,DP005,ITEM005,School-in-a-Box Kits,Education,631,In Transit,2026-01-28,2026-02-14,,Sea,0.0,False,accepted
71,SHP0071,SUP001,WH005,DP001,ITEM001,Vaccines,Medical,961,Cancelled,2026-04-10,2026-04-18,,Road,0.0,False,accepted
72,SHP0072,SUP002,WH001,DP005,ITEM005,School-in-a-Box Kits,Education,717,Delivered,2026-03-28,2026-04-12,2026-04-15,Sea,3.0,True,accepted
73,SHP0073,SUP001,WH005,DP001,ITEM002,Therapeutic Food Packs,Nutrition,365,Delayed,2026-01-14,2026-01-26,2026-02-09,Sea,14.0,True,accepted
74,SHP0074,SUP003,WH001,DP004,ITEM004,Emergency Shelter Kits,Shelter,852,Delivered,2026-03-26,2026-04-09,2026-04-12,Road,3.0,True,accepted
75,SHP0075,SUP004,WH002,DP004,ITEM001,Vaccines,Medical,190,In Transit,2026-02-25,2026-03-11,,Sea,0.0,False,accepted
76,SHP0076,SUP005,WH004,DP004,ITEM005,School-in-a-Box Kits,Education,456,In Transit,2026-03-25,2026-04-05,,Sea,0.0,False,accepted
77,SHP0077,SUP001,WH003,DP004,ITEM005,School-in-a-Box Kits,Education,259,Delayed,2026-02-04,2026-02-17,2026-03-07,Road,18.0,True,accepted
78,SHP0078,SUP003,WH002,DP004,ITEM005,School-in-a-Box Kits,Education,227,Delivered,2026-03-20,2026-04-04,2026-04-05,Road,1.0,True,accepted
79,SHP0079,SUP003,WH005,DP001,ITEM003,Water Purification Tablets,WASH,539,Delayed,2026-02-13,2026-02-24,2026-03-12,Air,16.0,True,accepted
80,SHP0080,SUP002,WH004,DP004,ITEM001,Vaccines,Medical,468,Delivered,2026-01-31,2026-02-16,2026-02-20,Air,4.0,True,accepted
81,SHP0081,SUP003,WH005,DP003,ITEM001,Vaccines,Medical,494,Delivered,2026-02-07,2026-02-17,2026-02-16,Sea,-1.0,False,accepted
82,SHP0082,SUP005,WH003,DP003,ITEM005,School-in-a-Box Kits,Education,729,Cancelled,2026-02-14,2026-03-02,,Road,0.0,False,accepted
83,SHP0083,SUP002,WH003,DP001,ITEM003,Water Purification Tablets,WASH,770,Delivered,2026-02-09,2026-02-20,2026-02-23,Sea,3.0,True,accepted
84,SHP0084,SUP003,WH005,DP005,ITEM002,Therapeutic Food Packs,Nutrition,621,In Transit,2026-01-25,2026-02-03,,Road,0.0,False,accepted
85,SHP0085,SUP002,WH003,DP001,ITEM001,Vaccines,Medical,735,Delivered,2026-04-17,2026-04-26,2026-04-26,Sea,0.0,False,accepted
86,SHP0086,SUP005,WH003,DP002,ITEM002,Therapeutic Food Packs,Nutrition,663,Cancelled,2026-02-05,2026-02-09,,Road,0.0,False,accepted
87,SHP0087,SUP004,WH004,DP004,ITEM001,Vaccines,Medical,358,In Transit,2026-04-22,2026-04-25,,Air,0.0,False,accepted
